type,title,kind,num_claims,series_code,Patent Number,Application Number,Filing Date,Grant Date,Abandonment Date,Entity Status,Application Status Category,Application Status Date,time to abandonment,abstract,inventor_country,assignee_country
utility,Method for closing slider-operated zipper on filled reclosable pouch,B2,5,11,6938395,11031387,1/7/2005,9/6/2005,10/4/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/7/2013,8.090410959,"An apparatus for closing a slider-operated zipper on a moving filled package, comprising means for performing the following steps: conveying a package forward in a straight line; guiding a slider on a zippered portion of the package through a channel as the package moves forward; blocking forward movement of the slider at a predetermined position inside the channel as the package continues to move forward; and releasing the slider when the force being exerted by the slider in the forward direction reaches a level substantially equal to a predetermined threshold. This apparatus can be employed in association with a continuous band sealing apparatus. The means for blocking forward movement of the slider at a predetermined position inside the channel are a pair of spring-loaded plungers, e.g., ball plungers. If the slider end stop is weak, the slider will be pulled off the advancing package and will fall onto an ejection ramp.",UNITED STATES,UNITED STATES
utility,Receptacle for extension cord,B1,6,11,6939180,11061031,2/22/2005,9/6/2005,10/5/2009,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/5/2009,4.082191781,"A receptacle for extension cord includes a housing having multiple slot pairs and an opening; multiple metal conducting strips seated in the housing to connect to core wires of a power cord in front of the housing; and a control unit including a key pivotally mounted in the opening on the housing, a conducting link strip seated in a slit on the key with a front portion fixed to a front side of the opening to connected to a core wire of the power cord, and a curved conducting spring strip connected at a front end to the conducting link strip and at a rear end to a point behind the opening. When the key is pushed, it biases the conducting link strip to contact with one of the metal conducting strips, so that external power source is supplied to the metal conducting strip via the power cord.",UNITED STATES,UNITED STATES
utility,Toy vehicle with enhanced jumping capability,B1,20,11,6939197,11050074,2/3/2005,9/6/2005,10/2/2017,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/2/2017,12.07945205,"A toy vehicle that is capable of lifting off a travel surface by means of a cam member. The toy vehicle comprises a chassis that has first and second ends and first and second drive wheels disposed between the first and second ends. The first and second drive wheels are aligned along an axis and are coupled to a drive system. To provide the toy vehicle with “tank steering” capabilities, the first and second drive wheels may be controlled independently of each other. One or more cam members aligned along the same axis as the first and second drive wheels are adapted to selectively rotate about the axis so that an outer edge contacts the travel surface, causing the toy vehicle to lift into the air. The cam members may be controlled by a cam motor, which operates independently of the drive system. In one embodiment, the toy vehicle and its cam members are adapted to be fully operable in an upright, first drive position and an upside-down, second drive position.",UNITED STATES,UNITED STATES
utility,Method and tool for cleaning a watercraft speedometer,B2,13,11,6939411,11043287,1/25/2005,9/6/2005,10/4/2013,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/7/2013,8.090410959,"A method and tool for cleaning a watercraft speedometer are disclosed. The tool comprises a body, an extraction tip extending therefrom, and at least one edge on the extraction tip that can catch matter in the cavity. The extraction tip is attached to the body and is approximately the size and shape to fit into an intake cavity of a speedometer mechanism so as not to damage the intake cavity. The extraction tip edge is used for extracting debris from the intake cavity. Twisting the extraction tip into the intake cavity and pulling the extraction tip out of the intake cavity results in catching and withdrawing debris from the intake cavity.",UNITED STATES,UNITED STATES
utility,Plasma display panel and manufacturing method thereof,B2,22,10,6940227,10239107,1/24/2005,9/6/2005,10/4/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/7/2013,8.090410959,"A plasma display panel that requires lower consumption power to drive is proved. This plasma display has a good luminance efficacy, is less tending to yellowing of glass and deterioration of phosphors, and is manufactured at a low cost. The dielectric layers and ribs of the PDP are made from a silicone resin containing polysiloxane bond. Preferably, the silicon resin should have siloxane bond joined with methyl group, ethyl group or phenyl group. It is also preferable that a sealing member is made from a silicone resin.",UNITED STATES,UNITED STATES
utility,Separation enhanced gray codes,B1,20,11,6940430,11031632,1/6/2005,9/6/2005,10/2/2017,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/2/2017,12.07945205,"In general, in one aspect, the invention features a Gray code decoder for decoding input numbers according to a K-bit Gray code and a Gray code encoder for encoding input numbers according to the K-bit Gray code. The K-bit Gray code is constructed from a M-bit Gray code having a one-bit separation I and a two-bit separation J and a N-bit Gray code number from a N-bit Gray code, wherein K=M+N, M≧N, and at least one of I and J is greater than, or equal to, 2N.",UNITED STATES,UNITED STATES
utility,Multilayered chip capacitor,B1,14,11,6940710,11029677,1/6/2005,9/6/2005,10/2/2017,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/2/2017,12.07945205,"A multilayered chip capacitor including a capacitor main body including a plurality of dielectric layers, which are laminated; at least one pair of first and second internal electrodes, each of which is formed on the corresponding one of the plural dielectric layers and includes at least one lead extended to one end of the corresponding dielectric layer; a plurality of external terminals formed on the outer surface of the capacitor main body, and respectively connected to the first and second internal electrodes through the leads; and at least one opened region, formed through the inner area of each of the first and second internal electrodes, for branching the flow of current so as to increase the offset quantity of parasitic inductances between the first and second internal electrodes.",UNITED STATES,UNITED STATES
utility,Automatic toilet cover closure device,B1,9,11,6941588,11049469,2/2/2005,9/13/2005,10/9/2017,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/9/2017,12.07945205,"An apparatus for automatically lowering a raised toilet seat pivotally attached to a back of a bowl of a toilet. The apparatus includes a preferably U-shaped support member to be supported over a front wall of the water tank. An elongated arm is pivotally supported at an upper end thereof to an upper end of the support member. A float is to be positioned in the water tank and is moved vertically on the support member when the tank is flushed. A movable member is positioned in contact between the support member and the arm and is attached to a flexible line which extends along the support member to the float. The movable member is arranged to pivotally move the arm outwardly when the toilet is flushed, pushing the cover and toilet seat together away from the tank a distance sufficient for the cover and toilet seat to then pivotally fall into a closed position atop the bowl.",UNITED STATES,UNITED STATES
utility,Receptacle assembly for receiving canine fecal matter,B1,6,11,6941897,11099104,4/6/2005,9/13/2005,10/11/2013,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/14/2013,8.090410959,"A receptacle assembly for receiving and retaining discharge of body waste of a canine, comprising a strap assembly and a bag assembly. The strap assembly is designed to securely mount upon the body of a canine such as a dog and comprises multiple means for securing it to the canine. The bag assembly is shaped in a form resembling a pear and is made of plastic. The bag assembly comprises exterior and interior walls joined by side pleats for expansion of the bag assembly when filled with fecal matter of the canine.",UNITED STATES,UNITED STATES
utility,Front suspension with three ball joints for a vehicle,B2,11,11,6942051,11041777,1/22/2005,9/13/2005,10/9/2017,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/9/2017,12.07945205,A suspension for a vehicle includes an upper A-arm and a lower A-arm. A leg with an axis is rotatably connected to both the upper A-arm and the lower A-arm. A mechanical link is rotatably connected to the leg so that movement of the mechanical link applies rotational force to the leg to cause the leg to rotate about the axis.,UNITED STATES,UNITED STATES
utility,Braille information notification device,B2,2,11,6942068,11082522,3/16/2005,9/13/2005,10/11/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/14/2013,8.090410959,"A method for imputing a voice message recording for a particular floor served by an elevator car includes the steps of sensing elevator car positions (21), sensing that a selected car operating panel button has been held down (22) and enabling a voice input process (23).A device for displaying Braille information to an elevator user includes an elongated panel (42) having a central Braille character panel (31) and two buttons (32, 33) disposed at opposite ends of the elongated panel for causing the displayed information to move backward and forward. A plurality of actuators (38), and probes (35) extruding through the Braille panel form Braille characters.",UNITED STATES,UNITED STATES
utility,Electrical connector with grounded shutter member,B2,6,10,6942503,10505181,4/4/2005,9/13/2005,10/12/2009,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/12/2009,4.082191781,"An electrical connector includes a dielectric housing having a receptacle for receiving a complementary mating connector. A plurality of conductive terminals are mounted on the housing and have contact portions exposed in the receptacle for engaging appropriate contacts of the mating connector. A metal shell is disposed about at least a portion of the housing. A shutter plate is movably mounted on the housing for movement between a closed position and an open position. In the closed position, the shutter plate substantially closes the receptacle to prevent inadvertent engagement of foreign objects with the contact portions of the terminals. In the open position, the shutter plate allows mating of the complementary mating connector. At least a portion of the shutter plate is conductive to dissipate static electricity at the receptacle. At least one spring is mounted on the housing for biasing the shutter plate toward its closed position. The spring is conductive and is electrically coupled between the conductive portion of the shutter plate and the metal shell to ground the plate to the shell.",UNITED STATES,UNITED STATES
utility,Voltage controlled oscillator and electronic system using the same,B1,5,11,6943638,11031216,1/7/2005,9/13/2005,10/9/2017,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/9/2017,12.07945205,A voltage controlled oscillator comprises two XOR logic units and two inverters. A first inverter inverts a first XOR result into a first output signal; a second inverter inverts a second XOR result into a second output signal; a first XOR logic unit performs an XOR logic operation based on an input signal and the second output signal and thus generating the first XOR result; and a second XOR logic unit performs an XOR logic operation based on the first output signal and a reference voltage and thus generates the second XOR result.,CHINA,CHINA
utility,Signal accessory for a molded case circuit breaker,B2,9,11,6943652,11050276,2/3/2005,9/13/2005,10/11/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/14/2013,8.090410959,"A signal accessory for a molded case circuit breaker, with the circuit breaker (10) having an operating mechanism (40) with a cradle pin (41b), a cross bar (55) and a trip bar (54) and a main breaker cover (20). The signal accessory (300) comprises a signal accessory mounting (301) having a bottom mount (308) and a top mount (306) coupled to the bottom mount (308) with the top mount configured to receive a switch (302, 304) and engage the breaker cover (20) in an accessory socket (22). A switch member (311) is rotably mounted on the bottom mount (308) with the switch member (311) having an actuator lever (322) in contact with the operating mechanism (40) of the circuit breaker (10) and an actuator pad (314) in contact with a switch mounted on the top mount (306).",UNITED STATES,UNITED STATES
utility,Fresnel lens sheet and transmission type projection screen,B2,13,11,6943948,11034896,1/13/2005,9/13/2005,10/9/2017,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/9/2017,12.07945205,"A Fresnel lens sheet comprises a Fresnel lens on one surface thereof, wherein respective unit surfaces constructing the Fresnel lens sheet have rough surfaces. Since it has a rough surface, it enables suppressing the occurrence of moire, when making up a screen. The other Fresnel lens sheet comprises a Fresnel lens on one surface thereof, and a fly-eye lens or prisms as a regular concavities and convexities configuration for suppressing regular reflection on the surface thereof on a side opposite to the side having the Fresnel lens formed thereon. Since it has on its rear surface a fly-eye lens or a prism, it enables suppressing the occurrence of ghost image.",UNITED STATES,UNITED STATES
utility,Variable column redundancy region boundaries in SRAM,B1,20,10,6944075,10905451,1/5/2005,9/13/2005,10/11/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/14/2013,8.090410959,"A method of assigning bits to redundant regions for variable bit redundancy region boundaries in a compliable memory such as a 1-port SRAM is provided. Methods include allocating bits between the redundant regions in nearly equal proportions while minimizing the amount of chip real estate consumed by the memory. Methods also includes allocating bits in equal portions between redundant regions while occupying slightly more memory chip real estate. Methods also allocate bits into redundant regions with a simplified procedure which may or may not allocate bits into the redundant regions in equal proportions. All of the methods allow the total number of memory bits in the complied memory to be re-defined while maintaining the same allocation characteristics for each method. Accordingly, the methods allow efficient use of redundant memory bits while also conserving chip real estate or offering simplified allocation steps.",UNITED STATES,UNITED STATES
utility,Automatic cleaning assembly for a toilet bowl,B1,36,11,6944890,11042267,1/25/2005,9/20/2005,10/18/2013,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/21/2013,8.090410959,"Provided is a hydraulic time release system for regulating the flow of liquid therethrough. The time release system comprises a timer body having a timer inlet for providing liquid at a timer inlet flow rate and a timer outlet for discharging liquid at a timer outlet flow rate. The timer body is divided into a first reservoir, a second reservoir, a third reservoir and a float reservoir. The first reservoir includes a catch pan mounted on an open drain tube that is positioned below the timer inlet. The first, second and third reservoirs are in at least partial fluid communication with the float reservoir. A timer float assembly is moveable between open and closed positions in response to variations in the float reservoir liquid level. The closed position is such that the flow of liquid into the drain tube is blocked causing the timer body to fill with liquid whereupon the timer outlet flow rate is substantially equivalent to the timer inlet flow rate.",UNITED STATES,UNITED STATES
utility,Motor driven link press,B2,4,11,6945165,11041934,1/26/2005,9/20/2005,10/16/2017,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/24/2017,12.10136986,"The present invention provides a motor driven link press which enables working with a heavy press load and also enables a working cycle time to be improved even when a motor with a relatively low output power is used and which can be properly controlled easily. A motor driven link press comprises a link mechanism 1 that converts a rotating operation into a linear operation and a ram 6 that elevates and lowers for press working on the basis of this linear operation. The link mechanism 1 comprises a crank member 2 having a crank shaft 3 and an eccentric shaft portion 4, a pivoting link 5, a connecting rod 7, and a restraining link 8. The pivoting link 5 has a first to third connecting portions P1 to P3 and is connected to the eccentric shaft portion 4 of the crank member 2 using the connecting portion P1. The connecting rod 7 is connected to the second connecting portion P2 and the ram 6. The restraining link 8 is rotationally removably supported on a frame 9 and is connected to the connecting portion P3 to restrain pivoting of the pivoting link 5. A drive transmitting system 14 is provided to transmit driving effected by a motor 13 to the crank shaft 3 of the link mechanism 1. The drive transmitting system can control rotation of the motor 13 to transmit driving effected by the motor 13 so that an elevating and lowering operations of the ram 6 can be controlled.",UNITED STATES,UNITED STATES
utility,Cooling system for a vehicle and a vehicle comprising the cooling system,B2,20,10,6945200,10906943,3/14/2005,9/20/2005,10/19/2009,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/19/2009,4.082191781,"A cooling system for a vehicle includes a first cooling circuit coupled to the vehicle engine for cooling the latter and a pump arranged in the first cooling circuit for pumping a coolant to the engine. The system further includes a second cooling circuit for cooling at least one other component in the vehicle, and an arrangement for coupling the second cooling circuit into the first cooling circuit in order to also supply the second cooling circuit with coolant from the pump. The cooling system further includes a line coupled from the first cooling circuit to the second cooling circuit bypassing the coupling means so that the second cooling circuit is supplied with coolant from the pump via the bypass line even when the coupling means is set to the disconnected position.",UNITED STATES,UNITED STATES
utility,Combustion chamber structure for internal combustion engine,B2,15,11,6945212,11035073,1/14/2005,9/20/2005,10/18/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/21/2013,8.090410959,A combustion chamber structure for an internal combustion engine is configured with a combustion chamber surface that has a recess disposed around at least a pair of intake openings. The recess defines a pair of intake opening formation surfaces surrounding the intake opening with a pair of steps formed between the combustion chamber surface and the intake opening formation surfaces. A connecting surface interconnects the intake opening formation surfaces. The connecting surface is also recessed from the combustion chamber surface to form a step therebetween and a communication space being formed between the intake openings.,UNITED STATES,UNITED STATES
utility,Starting device for internal combustion engine,B2,5,11,6945220,11037368,1/19/2005,9/20/2005,10/19/2009,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/19/2009,4.082191781,"A starting device for an internal combustion engine is capable of increasing starting torque as well as supplying air to a cylinder that is on the expansion stroke without separately providing a means for supplying high-pressure air. Communication control valves control the states of communication between cylinders of the engine. A crank angle detector detects the crank angle of a crankshaft of the engine. A compression/expansion identification part identifies the compression stroke or the expansion stroke of each cylinder. Fuel is injected into a cylinder on the expansion stroke and ignited therein, and the expansion stroke cylinder is placed in communication with a cylinder on the exhaust stroke by a communication state control part for a prescribed time after the ignition thereof, after which the expansion stroke cylinder is further placed in communication with a cylinder on the compression stroke for a prescribed time.",UNITED STATES,UNITED STATES
utility,Pesticide spraying cart,B1,4,11,6945438,11044925,1/26/2005,9/20/2005,10/18/2013,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/21/2013,8.090410959,"Provided is a pesticide spraying cart. In one embodiment, the comprises a pesticide tank, a retractable handle, two wheels, a recess provided between the wheels, a longitudinal hose compartment provided in a rear of the tank, a coil hose adapted to either extend out of the hose compartment by pulling or retract thereinto automatically after the force exerted on the coil hose has been released, a spray gun provided at an open end of the coil hose, a hook for holding the spray gun in an unused position, a pipe is extended from the coil hose into the tank, and a foot operated pump assembly provided in the recess. Repeatedly pressing a foot pedal to pressurize the tank, pulling the coil hose out of the hose compartment, and activating the spray gun will shoot out a uniform spray of liquid pesticide.",UNITED STATES,UNITED STATES
utility,Modular mounting assembly,B2,8,11,6945588,11080910,3/14/2005,9/20/2005,10/19/2009,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/19/2009,4.082191781,A mounting assembly is disclosed for mounting a sun visor to a vehicle panel having opposing faces and an aperture therethrough. The mounting assembly includes a mounting component mountable to the vehicle panel. The mounting component includes a first side having a number of spaced apart retaining members extending therefrom and a second side including at least one catch projecting therefrom. The opposing faces of the panel are gripped between the second surface and the catch to retain said mounting component against the vehicle panel. The mounting assembly also includes a bezel component moveably connected to the mounting component by the retaining members.,UNITED STATES,UNITED STATES
utility,Multi-functioned image projecting pen,B2,5,11,6945725,11103520,4/12/2005,9/20/2005,10/19/2009,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/19/2009,4.082191781,"The present invention discloses a multi-functioned image projecting pen, the front end of the jointing tube is connected dismountable to the rear end of pen shaft; the battery, button and luminotron constituting the circuit are mounted into the front end of jointing tube in this order. The button is mounted on the sidewall of jointing tube; the mounting bobbin is mounted movable to the rear end of jointing tube, the diaphragm is set between lighter and mounting bobbin; a moving sleeve is slip connected onto the mounting bobbin protruding out the jointing tube, the projecting lens is fixed at the top of moving sleeve. The moving sleeve is movable on the mounting bobbin according to the invention, the projected image is emerged or removed along the moving in or moving out of the moving sleeve, this makes the product functions as the pen, projecting and flashlight.",UNITED STATES,UNITED STATES
utility,Subterranean utility marker,B1,15,11,6945731,11094556,3/31/2005,9/20/2005,10/16/2017,SMALL,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/16/2017,12.07945205,A flag assembly includes an elongated and rectilinear shaft having opposed end portions situated adjacent a ground surface. The shaft includes a banner attached to one of the end portions having surface indicia imprinted thereon. A protective cover member is provided with a centrally registered countersunk bore situated therebelow. A frusto-conical spring member having axially opposed first and second end portions is conjoined to another end portion of the shaft and extends downwardly away therefrom along a vertical plane respectively. A bushing having a monolithically formed lower portion provided with a tapered diameter is inwardly offset from a diameter of the shaft. The bushing further has an axially registered upper portion operably conjoined to the spring member and cooperating with the shaft such that the spring member can be resiliently adapted between compressed and equilibrium positions to absorb vertically channeled impact forces encountered during installation procedures.,UNITED STATES,UNITED STATES
utility,LGA contact with extended arm for IC connector,B1,18,11,6945794,11066948,2/25/2005,9/20/2005,10/18/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/21/2013,8.090410959,"A fastening mechanism for an LGA socket (40) mounted on a PCB (50) for nesting an IC package (30) includes at least one holding unit (60) having a base portion (602) connected with the PCB, a resilient arm (604) extended from the base and formed with a pressing head (606). The head is formed with an compressing face (6060) able to be adjusted to move in a direction vertical to the PCB and rotate round an axis vertical to the PCB to hold the IC package on the LGA socket, thereby establishing electrical engagement between the IC package and the LGA socket. With this arrangement, good position of the IC package on the LGA socket is assured and a relatively higher space over the LGA socket can be saved to arrange other components or operate adjacent components.",UNITED STATES,UNITED STATES
utility,Polishing pad for use in chemical/mechanical planarization of semiconductor wafers having a transparent window for end-point determination and method of making,B1,9,11,6945846,11091965,3/28/2005,9/20/2005,10/18/2013,UNDISCOUNTED,Patent Expired Due to NonPayment of Maintenance Fees Under 37 CFR 1.362,10/21/2013,8.090410959,"A porous polishing pad for use chemical/mechanical planarization of semiconductor wafers is provided with a transparent section formed in a section of the porous polishing pad by direct injection of a polymeric material into a modified portion of the pad. The modified section may be either a low density area, or may be created by removing a complete vertical section of the pad. The injected polymer forms an integral window with the pad by flowing into the matrix of the pad at the pad/window interface. No additional reinforcement is required to hold the window in place; however, adhesive and/or another impervious layer may be attached behind the window for additional support. In an alternative embodiment, a separate and distinct window-plug is inserted into a cutout section of the pad, and bonded to the pad by one or more binding film layers on the back, non-working surface of the pad.",UNITED STATES,UNITED STATES
