group_id	Group Name	Patent Number
A63J	"Devices For Theatres, Circuses, Or The Like; Conjuring Appliances Or The Like"	595
A63K	Racing; Riding Sports; Equipment Or Accessories Therefor 	126
B01B	Boiling; Boiling Apparatus {; Evaporation; Evaporation Apparatus}	167
B01D	Separation 	41847
B01F	Mixing	9805
B01J	Chemical Or Physical Processes	34035
B01L	Chemical Or Physical Laboratory Apparatus For General Use 	13518
B02B	Preparing Grain For Milling; Refining Granular Fruit To Commercial Products By Working The Surface 	82
B02C	"Crushing, Pulverising, Or Disintegrating In General; Milling Grain "	3290
B03B	Separating Solid Materials Using Liquids Or Using Pneumatic Tables Or Jigs 	628
B03C	Magnetic Or Electrostatic Separation Of Solid Materials From Solid Materials Or Fluids; Separation By High-Voltage Electric Fields 	2193
B03D	Flotation; Differential Sedimentation 	551
B04B	Centrifuges 	1363
B04C	Apparatus Using Free Vortex Flow	898
B05B	Spraying Apparatus; Atomising Apparatus; Nozzles 	12341
B05C	"Apparatus For Applying Liquids Or Other Fluent Materials To Surfaces, In General "	4857
B05D	"Processes For Applying Liquids Or Other Fluent Materials To Surfaces, In General "	8992
B06B	"Methods Or Apparatus For Generating Or Transmitting Mechanical Vibrations Of Infrasonic, Sonic, Or Ultrasonic Frequency, {E.G.} For Performing Mechanical Work In General "	3016
B07B	"Seperating Solids From Solids By Sieving, Screening, Or Sifting Or By Using Gas Currents; Other Separating By Dry Methods Applicable To Bulk Material"	1520
B07C	"Postal Sorting; Sorting Individual Articles, Or Bulk Material Fit To Be Sorted Piece-Meal"	2036
B08B	Cleaning In General; Prevention Of Fouling In General 	8290
B09B	Disposal Of Solid Waste	1078
B09C	Reclamation Of Contaminated Soil 	822
B21B	Rolling Of Metal 	1861
B21C	"Manufacture Of Metal Sheets, Wire, Rods, Tubes Or Profiles, Otherwise Than By Rolling; Auxiliary Operations Used In Connection With Metal-Working Without Essentially Removing Material"	1849
B21D	"Working Or Processing Of Sheet Metal Or Metal Tubes, Rods Or Profiles Without Essentially Removing Material; Punching Metal "	7002
B21F	Working Or Processing Of Metal Wire 	777
B21G	"Making Needles, Pins Or Nails Of Metal"	102
B21H	Making Particular Metal Objects By Rolling	391
B21J	Forging; Hammering; Pressing Metal; Riveting; Forge Furnaces 	1864
B21K	Making Forged Or Pressed Metal Products	1390
B21L	Making Metal Chains 	92
B22C	Foundry Moulding 	1752
B22D	Casting Of Metals; Casting Of Other Substances By The Same Processes Or Devices 	4272
B22F	Working Metallic Powder; Manufacture Of Articles From Metallic Powder; Making Metallic Powder 	9099
B23B	Turning; Boring 	5617
B23C	Milling 	2350
B23D	"Planing; Slotting; Shearing; Broaching; Sawing; Filing; Scraping; Like Operations For Working Metal By Removing Material, Not Otherwise Provided For "	3323
B23F	Making Gears Or Toothed Racks 	495
B23G	"Thread Cutting; Working Of Screws, Bolt Heads, Or Nuts, In Conjunction Therewith "	296
B23H	Working Of Metal By The Action Of A High Concentration Of Electric Current On A Workpiece Using An Electrode Which Takes The Place Of A Tool; Such Working Combined With Other Forms Of Working Of Metal 	1026
B23K	Soldering Or Unsoldering; Welding; Cladding Or Plating By Soldering Or Welding; Cutting By Applying Heat Locally	19594
B23P	Other Working Of Metal; Combined Operations; Universal Machine Tools 	7723
B23Q	"Details, Components, Or Accessories For Machine Tools"	5725
B24B	"Machines, Devices, Or Processes For Grinding Or Polishing "	7817
B24C	Abrasive Or Related Blasting With Particulate Material	1160
B24D	"Tools For Grinding, Buffing, Or Sharpening "	2574
B25B	"Tools Or Bench Devices Not Otherwise Provided For, For Fastening, Connecting, Disengaging Or Holding"	7279
B25C	Hand-Held Nailing Or Stapling Tools; Manually Operated Portable Stapling Tools 	1345
B25D	Percussive Tools {	1190
B25F	Combination Or Multi-Purpose Tools Not Otherwise Provided For; Details Or Components Of Portable Power-Driven Tools Not Particularly Related To The Operations Performed And Not Otherwise Provided For {	3000
B25G	Handles For Hand Implements 	1607
B25H	Workshop Equipment	2020
B25J	Manipulators; Chambers Provided With Manipulation Devices 	12408
B26B	Hand-Held Cutting Tools Not Otherwise Provided For 	3073
B26D	"Cutting; Details Common To Machines For Perforating, Punching, Cutting-Out, Stamping-Out Or Severing "	4066
B26F	Perforating; Punching; Cutting-Out; Stamping-Out; Severing By Means Other Than Cutting 	1802
B27B	Saws For Wood Or Similar Material; Components Or Accessories Therefor 	1598
B27C	"Planing, Drilling, Milling, Turning Or Universal Machines For Wood Or Similar Material "	357
B27D	Working Veneer Or Plywood 	180
B27F	Dovetailed Work; Tenons; Slotting Machines For Wood Or Similar Material; Nailing Or Stapling Machines 	401
B27G	Accessory Machines Or Apparatus For Working Wood Or Similar Materials; Tools For Working Wood Or Similar Materials 	631
B27H	Bending Wood Or Similar Material; Cooperage; Making Wheels From Wood Or Similar Material	25
B27J	"Mechanical Working Of Cane, Cork, Or Similar Materials"	28
B27K	"Processes, Apparatus Or Selection Of Substances For Impregnating, Staining, Dyeing, Bleaching Of Wood Or Similar Materials, Or Treating Of Wood Or Similar Materials With Permeant Liquids, Not Otherwise Provided For "	409
B27L	Removing Bark Or Vestiges Of Branches 	295
B27M	Working Of Wood Not Provided For In Subclasses B27B - B27L; Manufacture Of Specific Wooden Articles	312
B27N	"Manufacture By Dry Processes Of Articles, With Or Without Organic Binding Agents, Made From Particles Or Fibres Consisting Of Wood Or Other Lignocellulosic Or Like Organic Material "	676
B28B	"Shaping Clay Or Other Ceramic Compositions, Slag, Or Mixtures Containing Cementitious Material"	2887
B28C	Preparing Clay; Producing Mixtures Containing Clay Or Cementitious Material	470
B28D	Working Stone Or Stone-Like Materials	1651
B29B	Preparation Or Pretreatment Of The Material To Be Shaped; Making Granules Or Preforms; Recovery Of Plastics Or Other Constituents Of Waste Material Containing Plastics	4882
B29C	"Shaping Or Joining Of Plastics; Shaping Of Material In A Plastic State, Not Otherwise Provided For; After-Treatment Of The Shaped Products"	45700
B29D	Producing Particular Articles From Plastics Or From Substances In A Plastic State 	9774
B29K	"Indexing Scheme Associated With Subclasses B29B, B29C Or B29D, Relating To Moulding Materials Or To Materials For {Moulds, } Reinforcements, Fillers Or Preformed Parts"	18617
B29L	"Indexing Scheme Associated With Subclass B29C, Relating To Particular Articles"	20321
B30B	Presses In General 	2311
B31B	"Making Containers Of Paper, Cardboard Or Material Worked In A Manner Analogous To Paper "	1989
B31C	Making Wound Articles	77
B31D	"Making Articles Of Paper, Cardboard Or Material Worked In A Manner Analogous To Paper, Not Provided For In Subclasses B31B Or B31C "	799
B31F	"Mechanical Working Or Deformation Of Paper, Cardboard Or Material Worked In A Manner Analogous To Paper "	1019
B32B	"Layered Products, I.E. Products Built-Up Of Strata Of Flat Or Non-Flat"	32472
B33Y	"Additive Manufacturing, I.E. Manufacturing Of Three-Dimensional [3-D] Objects By Additive Deposition, Additive Agglomeration Or Additive Layering"	10913
B41B	"Machines Or Accessories For Making, Setting, Or Distributing Type; Type; Photographic Or Photoelectric Composing Devices "	13
B41C	Processes For The Manufacture Or Reproduction Of Printing Surfaces 	995
B41D	Apparatus For The Mechanical Reproduction Of Printing Surfaces For Stereotype Printing; Shaping Elastic Or Deformable Material To Form Printing Surfaces 	25
B41F	Printing Machines Or Presses 	3060
B41G	"Apparatus For Bronze Printing, Line Printing, Or For Bordering Or Edging Sheets Or Like Articles; Auxiliary For Perforating In Conjunction With Printing "	15
B41J	"Typewriters; Selective Printing Mechanisms, {E.G. Ink-Jet Printers, Thermal Printers}, I.E. Mechanisms Printing Otherwise Than From A Forme; Correction Of Typographical Errors "	32885
B41K	Stamps; Stamping Or Numbering Apparatus Or Devices 	235
B41L	"Apparatus Or Devices For Manifolding, Duplicating, Or Printing For Office Or Other Commercial Purposes; Addressing Machines Or Like Series-Printing Machines "	171
B41M	"Printing, Duplicating, Marking, Or Copying Processes; Colour Printing, "	6750
B41N	Printing Plates Or Foils 	702
B41P	"Indexing Scheme Relating To Printing, Lining Machines, Typewriters, And To Stamps"	760
B42B	"Permanently Attaching Together Sheets, Quires Or Signatures Or Permanently Attaching Objects Thereto "	389
B42C	Bookbinding 	896
B42D	Books; Book Covers; Loose Leaves; Printed Matter Characterised By Identification Or Security Features; Printed Matter Of Special Format Or Style Not Otherwise Provided For; Devices For Use Therewith And Not Otherwise Provided For; Movable-Strip Writing Or Reading Apparatus	3132
B42F	Sheets Temporarily Attached Together; Filing Appliances; File Cards; Indexing 	720
B42P	"Indexing Scheme Relating To Books, Filing Appliances Or The Like"	305
B43K	Implements For Writing Or Drawing 	1058
B43L	Articles For Writing Or Drawing Upon; {Writing Or Drawing Aids;} Accessories For Writing Or Drawing 	557
B43M	Bureau Accessories Not Otherwise Provided For 	345
B44B	"Machines, Apparatus Or Tools For Artistic Work"	310
B44C	Producing Decorative Effects 	2061
B44D	"Painting Or Artistic Drawing, Not Otherwise Provided For; Preserving Paintings; Surface Treatment To Obtain Special Artistic Surface Effects Or Finishes "	695
B44F	Special Designs Or Pictures	774
B60B	Vehicle Wheels 	4029
B60C	Vehicle Tyres 	8363
B60D	Vehicle Connections 	1834
B60F	Vehicles For Use Both On Rail And On Road; Amphibious Or Like Vehicles; Convertible Vehicles 	404
B60G	Vehicle Suspension Arrangements 	6133
B60H	"Arrangements Or Adaptations Of Heating, Cooling, Ventilating, Or Other Air-Treating Devices Specially For Passenger Or Goods Spaces Of Vehicles"	5611
B60J	"Windows, Windscreens, Non-Fixed Roofs, Doors, Or Similar Devices For Vehicles; Removable External Protective Coverings Specially Adapted For Vehicles "	6382
B60K	"Arrangement Or Mounting Of Propulsion Units Or Of Transmissions In Vehicles; Arrangement Or Mounting Of Plural Diverse Prime-Movers In Vehicles; Auxiliary Drives For Vehicles; Instrumentation Or Dashboards For Vehicles; Arrangements In Connection With Cooling, Air Intake, Gas Exhaust Or Fuel Supply Of Propulsion Units In Vehicles"	27038
B60L	Propulsion Of Electrically-Propelled Vehicles 	20862
B60M	"Power Supply Lines, And Devices Along Rails, For Electrically- Propelled Vehicles "	473
B60N	Seats Specially Adapted For Vehicles; Vehicle Passenger Accommodation Not Otherwise Provided For	12072
B60P	"Vehicles Adapted For Load Transportation Or To Transport, To Carry, Or To Comprise Special Loads Or Objects "	5805
B60Q	"Arrangement Of Signalling Or Lighting Devices, The Mounting Or Supporting Thereof Or Circuits Therefor, For Vehicles In General"	10346
B60R	"Vehicles, Vehicle Fittings, Or Vehicle Parts, Not Otherwise Provided For"	36102
B60S	"Servicing, Cleaning, Repairing, Supporting, Lifting, Or Manoeuvring Of Vehicles, Not Otherwise Provided For"	3582
B60T	"Vehicle Brake Control Systems Or Parts Thereof; Brake Control Systems Or Parts Thereof, In General "	11112
B60V	Air-Cushion Vehicles	90
B60W	Conjoint Control Of Vehicle Sub-Units Of Different Type Or Different Function; Control Systems Specially Adapted For Hybrid Vehicles; Road Vehicle Drive Control Systems For Purposes Not Related To The Control Of A Particular Sub-Unit	24355
B60Y	Indexing Scheme Relating To Aspects Cross-Cutting Vehicle Technology	9524
B61B	Railway Systems; Equipment Therefor Not Otherwise Provided For 	888
B61C	Locomotives; Motor Railcars 	697
B61D	Body Details Or Kinds Of Railway Vehicles 	1564
B61F	Rail Vehicle Suspensions	753
B61G	Couplings; Draught And Buffing Appliances 	353
B61H	Brakes Or Other Retarding Apparatus Peculiar To Rail Vehicles; Arrangements Or Dispositions Of Brakes Or Other Retarding Apparatus In Rail Vehicles 	406
B61J	Shifting Or Shunting Of Rail Vehicles 	34
B61K	Other Auxiliary Equipment For Railways 	451
B61L	Guiding Railway Traffic; Ensuring The Safety Of Railway Traffic 	2182
B62B	Hand-Propelled Vehicles	3957
B62C	Vehicles Drawn By Animals	6
B62D	Motor Vehicles; Trailers 	23893
B62H	Cycle Stands; Supports Or Holders For Parking Or Storing Cycles; Appliances Preventing Or Indicating Unauthorized Use Or Theft Of Cycles; Locks Integral With Cycles; Devices For Learning To Ride Cycles	644
B62J	Cycle Saddles Or Seats; Auxiliary Devices Or Accessories Specially Adapted To Cycles And Not Otherwise Provided For	3591
B62K	"Cycles; Cycle Frames; Cycle Steering Devices; Rider-Operated Terminal Controls Specially Adapted For Cycles; Cycle Axle Suspensions; Cycle Side-Cars, Forecars, Or The Like"	5476
B62L	Brakes Specially Adapted For Cycles {	753
B62M	Rider Propulsion Of Wheeled Vehicles Or Sledges; Powered Propulsion Of Sledges Or {Single-Track} Cycles; Transmissions Specially Adapted For Such Vehicles 	3714
B63B	Ships Or Other Waterborne Vessels; Equipment For Shipping  	7795
B63C	"Launching, Hauling-Out, Or Dry-Docking Of Vessels; Life-Saving In Water; Equipment For Dwelling Or Working Under Water; Means For Salvaging Or Searching For Underwater Objects "	1749
B63G	Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers 	945
B63H	Marine Propulsion Or Steering 	4128
B63J	Auxiliaries On Vessels	568
B64B	Lighter-Than Air Aircraft	483
B64C	Aeroplanes; Helicopters 	16534
B64D	Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft	16714
B64F	"Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For; Handling, Transporting, Testing Or Inspecting Aircraft Components, Not Otherwise Provided For"	3642
B64G	Cosmonautics; Vehicles Or Equipment Therefor 	2643
B65B	"Machines, Apparatus Or Devices For, Or Methods Of, Packaging Articles Or Materials; Unpacking "	10331
B65C	"Labelling Or Tagging Machines, Apparatus, Or Processes "	1137
B65D	Containers For Storage Or Transport Of Articles Or Materials	32170
B65F	Gathering Or Removal Of Domestic Or Like Refuse 	1666
B65G	Transport Or Storage Devices	15104
B65H	Handling Thin Or Filamentary Material	15952
B66B	Elevators; Escalators Or Moving Walkways 	3404
B66C	"Cranes; Load-Engaging Elements Or Devices For Cranes, Capstans, Winches, Or Tackles "	3434
B66D	Capstans; Winches; Tackles	1471
B66F	"Hoisting, Lifting, Hauling Or Pushing, Not Otherwise Provided For"	3534
B67B	"Applying Closure Members To Bottles Jars, Or Similar Containers; Opening Closed Containers "	728
B67C	"Cleaning, Filling With Liquids Or Semiliquids, Or Emptying, Of Bottles, Jars, Cans, Casks, Barrels, Or Similar Containers, Not Otherwise Provided For; Funnels"	1018
B67D	"Dispensing, Delivering Or Transferring Liquids, Not Otherwise Provided For "	4188
B68B	Harness; Devices Used In Connection Therewith; Whips Or The Like	76
B68C	Saddles; Stirrups	116
B68F	"Making Articles From Leather, Canvas, Or The Like"	6
B68G	"Methods, Equipment, Or Machines For Use In Upholstering; Upholstery Not Otherwise Provided For"	330
B81B	Microstructural Devices Or Systems	6816
B81C	Processes Or Apparatus Specially Adapted For The Manufacture Or Treatment Of Microstructural Devices Or Systems 	6427
B82B	"Nanostructures Formed By Manipulation Of Individual Atoms, Molecules, Or Limited Collections Of Atoms Or Molecules As Discrete Units; Manufacture Or Treatment Thereof"	436
B82Y	Specific Uses Or Applications Of Nanostructures; Measurement Or Analysis Of Nanostructures; Manufacture Or Treatment Of Nanostructures	28525
C01B	Non-Metallic Elements; Compounds Thereof; {Metalloids Or Compounds Thereof Not Covered By Subclass C01C}	17352
C01C	Ammonia; Cyanogen; Compounds Thereof 	612
C01D	"Compounds Of Alkali Metals, I.E. Lithium, Sodium, Potassium, Rubidium, Caesium, Or Francium "	716
C01F	"Compounds Of The Metals Beryllium, Magnesium, Aluminium, Calcium, Strontium, Barium, Radium, Thorium, Or Of The Rare-Earth Metals "	1935
C01G	Compounds Containing Metals Not Covered By Subclasses C01D Or C01F 	5226
C01P	Indexing Scheme Relating To Structural And Physical Aspects Of Solid Inorganic Compounds	9325
C02F	"Treatment Of Water, Waste Water, Sewage, Or Sludge "	14259
C03B	"Manufacture, Shaping, Or Supplementary Processes"	4854
C03C	"Chemical Composition Of Glasses, Glazes, Or Vitreous Enamels; Surface Treatment Of Glass; Surface Treatment Of Fibres Or Filaments Made From Glass, Minerals Or Slags; Joining Glass To Glass Or Other Materials"	8534
C04B	"Lime, Magnesia; Slag; Cements; Compositions Thereof"	15330
C05B	Phosphatic Fertilisers	518
C05C	Nitrogenous Fertilisers	647
C05D	"Inorganic Fertilisers Not Covered By Subclasses C05B, C05C; Fertilisers Producing Carbon Dioxide"	621
C05F	"Organic Fertilisers Not Covered By Subclasses C05B, C05C"	1133
C05G	Mixtures Of Fertilisers Covered Individually By Different Subclasses Of Class C05; Mixtures Of One Or More Fertilisers With Materials Not Having A Specific Fertilising Activity	1115
C06B	Explosives Or Thermic Compositions 	749
C06C	Detonating Or Priming Devices; Fuses 	250
C06D	Means For Generating Smoke Or Mist; Gas-Attack Compositions; Generation Of Gas For Blasting Or Propulsion 	239
C06F	Matches; Manufacture Of Matches	5
C07B	General Methods Of Organic Chemistry; Apparatus Therefor 	5917
C07C	Acyclic Or Carbocyclic Compounds	34563
C07D	Heterocyclic Compounds	54126
C07F	"Acyclic, Carbocyclic Or Heterocyclic Compounds Containing Elements Other Than Carbon, Hydrogen, Halogen, Oxygen, Nitrogen, Sulfur, Selenium Or Tellurium "	12990
C07G	Compounds Of Unknown Constitution	250
C07H	Sugars; Derivatives Thereof; Nucleosides; Nucleotides; Nucleic Acids 	6877
C07J	Steroids 	1325
C07K	Peptides 	47484
C08B	Polysaccharides; Derivatives Thereof 	3329
C08C	Treatment Or Chemical Modification Of Rubbers	1199
C08F	Macromolecular Compounds Obtained By Reactions Only Involving Carbon-To-Carbon Unsaturated Bonds	22337
C08G	Macromolecular Compounds Obtained Otherwise Than By Reactions Only Involving Unsaturated Carbon-To-Carbon Bonds	27750
C08H	Derivatives Of Natural Macromolecular Compounds 	909
C08J	"Working-Up; General Processes Of Compounding; After-Treatment Not Covered By Subclasses C08B, C08C, C08F, C08G "	17396
C08K	Use Of Inorganic Or Non-Macromolecular Organic Substances As Compounding Ingredients 	24016
C08L	Compositions Of Macromolecular Compounds 	33039
C09B	Organic Dyes Or Closely-Related Compounds For Producing Dyes {	4323
C09C	"Treatment Of Inorganic Materials, Other Than Fibrous Fillers, To Enhance Their Pigmenting Or Filling Properties "	2916
C09D	Coating Compositions	24918
C09F	Natural Resins; French Polish; Drying-Oils; Driers 	96
C09G	Polishing Compositions Other Than French Polish; Ski Waxes	1320
C09H	Preparation Of Glue Or Gelatine	7
C09J	Adhesives; Non-Mechanical Aspects Of Adhesive Processes In General; Adhesive Processes Not Provided For Elsewhere; Use Of Material As Adhesives 	9470
C09K	"Materials For Miscellaneous Applications, Not Provided For Elsewhere"	26099
C10B	"Destructive Distillation Of Carbonageous Materials For Production Of Gas, Coke, Tar, Or Similar Materials "	1320
C10C	"Working-Up Pitch, Asphalt, Bitumen, Tar; Pyroligneous Acid "	244
C10F	Drying Or Working-Up Of Peat	15
C10G	Cracking Hydrocarbon Oils; Production Of Liquid Hydrocarbon Mixtures	10276
C10H	Production Of Acetylene By Wet Methods {	6
C10J	"Production Of Producer Gas, Water-Gas, Synthesis Gas From Solid Carbonaceous Material, Or Mixtures Containing These Gases "	1571
C10K	Purifying Or Modifying The Chemical Composition Of Combustible Gases Containing Carbon Monoxide	1030
C10L	Fuels Not Otherwise Provided For 	4967
C10M	Lubricating Compositions 	4475
C10N	Indexing Scheme Associated With Subclass C10M Relating To Lubricating Compositions	4003
C11B	Producing 	2959
C11C	"Fatty Acids From Fats, Oils Or Waxes; Candles; Fats, Oils Or Fatty Acids By Chemical Modification Of Fats, Oils, Or Fatty Acids Obtained Therefrom"	1303
C11D	Detergent Compositions 	7658
C12C	Beer; Preparation Of Beer By Fermentation 	414
C12F	Recovery Of By-Products Of Fermented Solutions 	126
C12G	Wine; Preparation Thereof; Alcoholic Beverages 	348
C12H	"Pasteurisation, Sterilisation, Preservation, Purification, Clarification Or Ageing Of Alcoholic Beverages; Methods For Altering The Alcohol Content Of Fermented Solutions Or Alcoholic Beverages "	362
C12J	Vinegar; Preparation Or Purification Thereof	25
C12L	Pitching Or Depitching Machines; Cellar Tools 	9
C12M	"Apparatus For Enzymology Or Microbiology; {Apparatus For Culturing Microorganisms For Producing Biomass, For Growing Cells Or For Obtaining Fermentation Or Metabolic Products, I.E. Bioreactors Or Fermenters}"	5582
C12N	"Microorganisms Or Enzymes; Compositions Thereof; Propagating, Preserving, Or Maintaining Microorganisms; Mutation Or Genetic Engineering; Culture Media "	53443
C12P	Fermentation Or Enzyme-Using Processes To Synthesise A Desired Chemical Compound Or Composition Or To Separate Optical Isomers From A Racemic Mixture {	12807
C12Q	"Measuring Or Testing Processes Involving Enzymes, Nucleic Acids Or Microorganisms "	27132
C12R	Processes Using Microorganisms	2062
C12Y	Enzymes	11754
C13B	Production Of Sucrose; Apparatus Specially Adapted Therefor 	224
C13K	"Saccharides, Other Than Sucrose, Obtained From Natural Sources Or By Hydrolysis Of Naturally Occurring Di-, Oligo- Or Polysaccharides "	638
C14B	"Mechanical Treatment Or Processing Of Skins, Hides Or Leather In General; Pelt-Shearing Machines; Intestine-Splitting Machines "	96
C14C	"Chemical Treatment Of Hides, Skins Or Leather"	160
C21B	Manufacture Of Iron Or Steel 	758
C21C	Processing Of Pig-Iron	801
