Group ,Definition
A63C,"Skates; Skis; Roller Skates; Design Or Layout Of Courts, Rinks Or The Like "
A63D,Bowling Games
A63F,"Card, Board, Or Roulette Games; Indoor Games Using Small Moving Playing Bodies; Video Games; Games Not Otherwise Provided For"
A63G,Merry-Go-Rounds; Swings; Rocking-Horses; Chutes; Switchbacks; Similar Devices For Public Amusement
A63H,Toys
A63J,"Devices For Theatres, Circuses, Or The Like; Conjuring Appliances Or The Like"
A63K,Racing; Riding Sports; Equipment Or Accessories Therefor 
B01B,Boiling; Boiling Apparatus {; Evaporation; Evaporation Apparatus}
B01D,Separation 
B01F,Mixing
B01J,Chemical Or Physical Processes
B01L,Chemical Or Physical Laboratory Apparatus For General Use 
B02B,Preparing Grain For Milling; Refining Granular Fruit To Commercial Products By Working The Surface 
B02C,"Crushing, Pulverising, Or Disintegrating In General; Milling Grain "
B03B,Separating Solid Materials Using Liquids Or Using Pneumatic Tables Or Jigs 
B03C,Magnetic Or Electrostatic Separation Of Solid Materials From Solid Materials Or Fluids; Separation By High-Voltage Electric Fields 
B03D,Flotation; Differential Sedimentation 
B04B,Centrifuges 
B04C,Apparatus Using Free Vortex Flow
B05B,Spraying Apparatus; Atomising Apparatus; Nozzles 
B05C,"Apparatus For Applying Liquids Or Other Fluent Materials To Surfaces, In General "
B05D,"Processes For Applying Liquids Or Other Fluent Materials To Surfaces, In General "
B06B,"Methods Or Apparatus For Generating Or Transmitting Mechanical Vibrations Of Infrasonic, Sonic, Or Ultrasonic Frequency, {E.G.} For Performing Mechanical Work In General "
B07B,"Seperating Solids From Solids By Sieving, Screening, Or Sifting Or By Using Gas Currents; Other Separating By Dry Methods Applicable To Bulk Material"
B07C,"Postal Sorting; Sorting Individual Articles, Or Bulk Material Fit To Be Sorted Piece-Meal"
B08B,Cleaning In General; Prevention Of Fouling In General 
B09B,Disposal Of Solid Waste
B09C,Reclamation Of Contaminated Soil 
B21B,Rolling Of Metal 
B21C,"Manufacture Of Metal Sheets, Wire, Rods, Tubes Or Profiles, Otherwise Than By Rolling; Auxiliary Operations Used In Connection With Metal-Working Without Essentially Removing Material"
B21D,"Working Or Processing Of Sheet Metal Or Metal Tubes, Rods Or Profiles Without Essentially Removing Material; Punching Metal "
B21F,Working Or Processing Of Metal Wire 
B21G,"Making Needles, Pins Or Nails Of Metal"
B21H,Making Particular Metal Objects By Rolling
B21J,Forging; Hammering; Pressing Metal; Riveting; Forge Furnaces 
B21K,Making Forged Or Pressed Metal Products
B21L,Making Metal Chains 
B22C,Foundry Moulding 
B22D,Casting Of Metals; Casting Of Other Substances By The Same Processes Or Devices 
B22F,Working Metallic Powder; Manufacture Of Articles From Metallic Powder; Making Metallic Powder 
B23B,Turning; Boring 
B23C,Milling 
B23D,"Planing; Slotting; Shearing; Broaching; Sawing; Filing; Scraping; Like Operations For Working Metal By Removing Material, Not Otherwise Provided For "
B23F,Making Gears Or Toothed Racks 
B23G,"Thread Cutting; Working Of Screws, Bolt Heads, Or Nuts, In Conjunction Therewith "
B23H,Working Of Metal By The Action Of A High Concentration Of Electric Current On A Workpiece Using An Electrode Which Takes The Place Of A Tool; Such Working Combined With Other Forms Of Working Of Metal 
B23K,Soldering Or Unsoldering; Welding; Cladding Or Plating By Soldering Or Welding; Cutting By Applying Heat Locally
B23P,Other Working Of Metal; Combined Operations; Universal Machine Tools 
B23Q,"Details, Components, Or Accessories For Machine Tools"
B24B,"Machines, Devices, Or Processes For Grinding Or Polishing "
B24C,Abrasive Or Related Blasting With Particulate Material
B24D,"Tools For Grinding, Buffing, Or Sharpening "
B25B,"Tools Or Bench Devices Not Otherwise Provided For, For Fastening, Connecting, Disengaging Or Holding"
B25C,Hand-Held Nailing Or Stapling Tools; Manually Operated Portable Stapling Tools 
B25D,Percussive Tools {
B25F,Combination Or Multi-Purpose Tools Not Otherwise Provided For; Details Or Components Of Portable Power-Driven Tools Not Particularly Related To The Operations Performed And Not Otherwise Provided For {
B25G,Handles For Hand Implements 
B25H,Workshop Equipment
B25J,Manipulators; Chambers Provided With Manipulation Devices 
B26B,Hand-Held Cutting Tools Not Otherwise Provided For 
B26D,"Cutting; Details Common To Machines For Perforating, Punching, Cutting-Out, Stamping-Out Or Severing "
B26F,Perforating; Punching; Cutting-Out; Stamping-Out; Severing By Means Other Than Cutting 
B27B,Saws For Wood Or Similar Material; Components Or Accessories Therefor 
B27C,"Planing, Drilling, Milling, Turning Or Universal Machines For Wood Or Similar Material "
B27D,Working Veneer Or Plywood 
B27F,Dovetailed Work; Tenons; Slotting Machines For Wood Or Similar Material; Nailing Or Stapling Machines 
B27G,Accessory Machines Or Apparatus For Working Wood Or Similar Materials; Tools For Working Wood Or Similar Materials 
B27H,Bending Wood Or Similar Material; Cooperage; Making Wheels From Wood Or Similar Material
B27J,"Mechanical Working Of Cane, Cork, Or Similar Materials"
B27K,"Processes, Apparatus Or Selection Of Substances For Impregnating, Staining, Dyeing, Bleaching Of Wood Or Similar Materials, Or Treating Of Wood Or Similar Materials With Permeant Liquids, Not Otherwise Provided For "
B27L,Removing Bark Or Vestiges Of Branches 
B27M,Working Of Wood Not Provided For In Subclasses B27B - B27L; Manufacture Of Specific Wooden Articles
B27N,"Manufacture By Dry Processes Of Articles, With Or Without Organic Binding Agents, Made From Particles Or Fibres Consisting Of Wood Or Other Lignocellulosic Or Like Organic Material "
B28B,"Shaping Clay Or Other Ceramic Compositions, Slag, Or Mixtures Containing Cementitious Material"
B28C,Preparing Clay; Producing Mixtures Containing Clay Or Cementitious Material
B28D,Working Stone Or Stone-Like Materials
B29B,Preparation Or Pretreatment Of The Material To Be Shaped; Making Granules Or Preforms; Recovery Of Plastics Or Other Constituents Of Waste Material Containing Plastics
B29C,"Shaping Or Joining Of Plastics; Shaping Of Material In A Plastic State, Not Otherwise Provided For; After-Treatment Of The Shaped Products"
B29D,Producing Particular Articles From Plastics Or From Substances In A Plastic State 
B29K,"Indexing Scheme Associated With Subclasses B29B, B29C Or B29D, Relating To Moulding Materials Or To Materials For {Moulds, } Reinforcements, Fillers Or Preformed Parts"
B29L,"Indexing Scheme Associated With Subclass B29C, Relating To Particular Articles"
B30B,Presses In General 
B31B,"Making Containers Of Paper, Cardboard Or Material Worked In A Manner Analogous To Paper "
B31C,Making Wound Articles
B31D,"Making Articles Of Paper, Cardboard Or Material Worked In A Manner Analogous To Paper, Not Provided For In Subclasses B31B Or B31C "
B31F,"Mechanical Working Or Deformation Of Paper, Cardboard Or Material Worked In A Manner Analogous To Paper "
B32B,"Layered Products, I.E. Products Built-Up Of Strata Of Flat Or Non-Flat"
B33Y,"Additive Manufacturing, I.E. Manufacturing Of Three-Dimensional [3-D] Objects By Additive Deposition, Additive Agglomeration Or Additive Layering"
B41B,"Machines Or Accessories For Making, Setting, Or Distributing Type; Type; Photographic Or Photoelectric Composing Devices "
B41C,Processes For The Manufacture Or Reproduction Of Printing Surfaces 
B41D,Apparatus For The Mechanical Reproduction Of Printing Surfaces For Stereotype Printing; Shaping Elastic Or Deformable Material To Form Printing Surfaces 
B41F,Printing Machines Or Presses 
B41G,"Apparatus For Bronze Printing, Line Printing, Or For Bordering Or Edging Sheets Or Like Articles; Auxiliary For Perforating In Conjunction With Printing "
B41J,"Typewriters; Selective Printing Mechanisms, {E.G. Ink-Jet Printers, Thermal Printers}, I.E. Mechanisms Printing Otherwise Than From A Forme; Correction Of Typographical Errors "
B41K,Stamps; Stamping Or Numbering Apparatus Or Devices 
B41L,"Apparatus Or Devices For Manifolding, Duplicating, Or Printing For Office Or Other Commercial Purposes; Addressing Machines Or Like Series-Printing Machines "
B41M,"Printing, Duplicating, Marking, Or Copying Processes; Colour Printing, "
B41N,Printing Plates Or Foils 
B41P,"Indexing Scheme Relating To Printing, Lining Machines, Typewriters, And To Stamps"
B42B,"Permanently Attaching Together Sheets, Quires Or Signatures Or Permanently Attaching Objects Thereto "
B42C,Bookbinding 
B42D,Books; Book Covers; Loose Leaves; Printed Matter Characterised By Identification Or Security Features; Printed Matter Of Special Format Or Style Not Otherwise Provided For; Devices For Use Therewith And Not Otherwise Provided For; Movable-Strip Writing Or Reading Apparatus
B42F,Sheets Temporarily Attached Together; Filing Appliances; File Cards; Indexing 
B42P,"Indexing Scheme Relating To Books, Filing Appliances Or The Like"
B43K,Implements For Writing Or Drawing 
B43L,Articles For Writing Or Drawing Upon; {Writing Or Drawing Aids;} Accessories For Writing Or Drawing 
B43M,Bureau Accessories Not Otherwise Provided For 
B44B,"Machines, Apparatus Or Tools For Artistic Work"
B44C,Producing Decorative Effects 
B44D,"Painting Or Artistic Drawing, Not Otherwise Provided For; Preserving Paintings; Surface Treatment To Obtain Special Artistic Surface Effects Or Finishes "
B44F,Special Designs Or Pictures
B60B,Vehicle Wheels 
B60C,Vehicle Tyres 
B60D,Vehicle Connections 
B60F,Vehicles For Use Both On Rail And On Road; Amphibious Or Like Vehicles; Convertible Vehicles 
B60G,Vehicle Suspension Arrangements 
B60H,"Arrangements Or Adaptations Of Heating, Cooling, Ventilating, Or Other Air-Treating Devices Specially For Passenger Or Goods Spaces Of Vehicles"
B60J,"Windows, Windscreens, Non-Fixed Roofs, Doors, Or Similar Devices For Vehicles; Removable External Protective Coverings Specially Adapted For Vehicles "
B60K,"Arrangement Or Mounting Of Propulsion Units Or Of Transmissions In Vehicles; Arrangement Or Mounting Of Plural Diverse Prime-Movers In Vehicles; Auxiliary Drives For Vehicles; Instrumentation Or Dashboards For Vehicles; Arrangements In Connection With Cooling, Air Intake, Gas Exhaust Or Fuel Supply Of Propulsion Units In Vehicles"
B60L,Propulsion Of Electrically-Propelled Vehicles 
B60M,"Power Supply Lines, And Devices Along Rails, For Electrically- Propelled Vehicles "
B60N,Seats Specially Adapted For Vehicles; Vehicle Passenger Accommodation Not Otherwise Provided For
B60P,"Vehicles Adapted For Load Transportation Or To Transport, To Carry, Or To Comprise Special Loads Or Objects "
B60Q,"Arrangement Of Signalling Or Lighting Devices, The Mounting Or Supporting Thereof Or Circuits Therefor, For Vehicles In General"
B60R,"Vehicles, Vehicle Fittings, Or Vehicle Parts, Not Otherwise Provided For"
B60S,"Servicing, Cleaning, Repairing, Supporting, Lifting, Or Manoeuvring Of Vehicles, Not Otherwise Provided For"
B60T,"Vehicle Brake Control Systems Or Parts Thereof; Brake Control Systems Or Parts Thereof, In General "
B60V,Air-Cushion Vehicles
B60W,Conjoint Control Of Vehicle Sub-Units Of Different Type Or Different Function; Control Systems Specially Adapted For Hybrid Vehicles; Road Vehicle Drive Control Systems For Purposes Not Related To The Control Of A Particular Sub-Unit
B60Y,Indexing Scheme Relating To Aspects Cross-Cutting Vehicle Technology
B61B,Railway Systems; Equipment Therefor Not Otherwise Provided For 
B61C,Locomotives; Motor Railcars 
B61D,Body Details Or Kinds Of Railway Vehicles 
B61F,Rail Vehicle Suspensions
B61G,Couplings; Draught And Buffing Appliances 
B61H,Brakes Or Other Retarding Apparatus Peculiar To Rail Vehicles; Arrangements Or Dispositions Of Brakes Or Other Retarding Apparatus In Rail Vehicles 
B61J,Shifting Or Shunting Of Rail Vehicles 
B61K,Other Auxiliary Equipment For Railways 
B61L,Guiding Railway Traffic; Ensuring The Safety Of Railway Traffic 
B62B,Hand-Propelled Vehicles
B62C,Vehicles Drawn By Animals
B62D,Motor Vehicles; Trailers 
B62H,Cycle Stands; Supports Or Holders For Parking Or Storing Cycles; Appliances Preventing Or Indicating Unauthorized Use Or Theft Of Cycles; Locks Integral With Cycles; Devices For Learning To Ride Cycles
B62J,Cycle Saddles Or Seats; Auxiliary Devices Or Accessories Specially Adapted To Cycles And Not Otherwise Provided For
B62K,"Cycles; Cycle Frames; Cycle Steering Devices; Rider-Operated Terminal Controls Specially Adapted For Cycles; Cycle Axle Suspensions; Cycle Side-Cars, Forecars, Or The Like"
B62L,Brakes Specially Adapted For Cycles {
B62M,Rider Propulsion Of Wheeled Vehicles Or Sledges; Powered Propulsion Of Sledges Or {Single-Track} Cycles; Transmissions Specially Adapted For Such Vehicles 
B63B,Ships Or Other Waterborne Vessels; Equipment For Shipping  
B63C,"Launching, Hauling-Out, Or Dry-Docking Of Vessels; Life-Saving In Water; Equipment For Dwelling Or Working Under Water; Means For Salvaging Or Searching For Underwater Objects "
B63G,Offensive Or Defensive Arrangements On Vessels; Mine-Laying; Mine-Sweeping; Submarines; Aircraft Carriers 
B63H,Marine Propulsion Or Steering 
B63J,Auxiliaries On Vessels
B64B,Lighter-Than Air Aircraft
B64C,Aeroplanes; Helicopters 
B64D,Equipment For Fitting In Or To Aircraft; Flying Suits; Parachutes; Arrangements Or Mounting Of Power Plants Or Propulsion Transmissions In Aircraft
B64F,"Ground Or Aircraft-Carrier-Deck Installations Specially Adapted For Use In Connection With Aircraft; Designing, Manufacturing, Assembling, Cleaning, Maintaining Or Repairing Aircraft, Not Otherwise Provided For; Handling, Transporting, Testing Or Inspecting Aircraft Components, Not Otherwise Provided For"
B64G,Cosmonautics; Vehicles Or Equipment Therefor 
B65B,"Machines, Apparatus Or Devices For, Or Methods Of, Packaging Articles Or Materials; Unpacking "
B65C,"Labelling Or Tagging Machines, Apparatus, Or Processes "
B65D,Containers For Storage Or Transport Of Articles Or Materials
B65F,Gathering Or Removal Of Domestic Or Like Refuse 
B65G,Transport Or Storage Devices
B65H,Handling Thin Or Filamentary Material
B66B,Elevators; Escalators Or Moving Walkways 
B66C,"Cranes; Load-Engaging Elements Or Devices For Cranes, Capstans, Winches, Or Tackles "
B66D,Capstans; Winches; Tackles
B66F,"Hoisting, Lifting, Hauling Or Pushing, Not Otherwise Provided For"
B67B,"Applying Closure Members To Bottles Jars, Or Similar Containers; Opening Closed Containers "
B67C,"Cleaning, Filling With Liquids Or Semiliquids, Or Emptying, Of Bottles, Jars, Cans, Casks, Barrels, Or Similar Containers, Not Otherwise Provided For; Funnels"
B67D,"Dispensing, Delivering Or Transferring Liquids, Not Otherwise Provided For "
B68B,Harness; Devices Used In Connection Therewith; Whips Or The Like
B68C,Saddles; Stirrups
B68F,"Making Articles From Leather, Canvas, Or The Like"
B68G,"Methods, Equipment, Or Machines For Use In Upholstering; Upholstery Not Otherwise Provided For"
B81B,Microstructural Devices Or Systems
B81C,Processes Or Apparatus Specially Adapted For The Manufacture Or Treatment Of Microstructural Devices Or Systems 
B82B,"Nanostructures Formed By Manipulation Of Individual Atoms, Molecules, Or Limited Collections Of Atoms Or Molecules As Discrete Units; Manufacture Or Treatment Thereof"
B82Y,Specific Uses Or Applications Of Nanostructures; Measurement Or Analysis Of Nanostructures; Manufacture Or Treatment Of Nanostructures
C01B,Non-Metallic Elements; Compounds Thereof; {Metalloids Or Compounds Thereof Not Covered By Subclass C01C}
C01C,Ammonia; Cyanogen; Compounds Thereof 
C01D,"Compounds Of Alkali Metals, I.E. Lithium, Sodium, Potassium, Rubidium, Caesium, Or Francium "
C01F,"Compounds Of The Metals Beryllium, Magnesium, Aluminium, Calcium, Strontium, Barium, Radium, Thorium, Or Of The Rare-Earth Metals "
C01G,Compounds Containing Metals Not Covered By Subclasses C01D Or C01F 
C01P,Indexing Scheme Relating To Structural And Physical Aspects Of Solid Inorganic Compounds
C02F,"Treatment Of Water, Waste Water, Sewage, Or Sludge "
C03B,"Manufacture, Shaping, Or Supplementary Processes"
C03C,"Chemical Composition Of Glasses, Glazes, Or Vitreous Enamels; Surface Treatment Of Glass; Surface Treatment Of Fibres Or Filaments Made From Glass, Minerals Or Slags; Joining Glass To Glass Or Other Materials"
C04B,"Lime, Magnesia; Slag; Cements; Compositions Thereof"
C05B,Phosphatic Fertilisers
C05C,Nitrogenous Fertilisers
C05D,"Inorganic Fertilisers Not Covered By Subclasses C05B, C05C; Fertilisers Producing Carbon Dioxide"
C05F,"Organic Fertilisers Not Covered By Subclasses C05B, C05C"
C05G,Mixtures Of Fertilisers Covered Individually By Different Subclasses Of Class C05; Mixtures Of One Or More Fertilisers With Materials Not Having A Specific Fertilising Activity
C06B,Explosives Or Thermic Compositions 
C06C,Detonating Or Priming Devices; Fuses 
C06D,Means For Generating Smoke Or Mist; Gas-Attack Compositions; Generation Of Gas For Blasting Or Propulsion 
C06F,Matches; Manufacture Of Matches
C07B,General Methods Of Organic Chemistry; Apparatus Therefor 
C07C,Acyclic Or Carbocyclic Compounds
C07D,Heterocyclic Compounds
C07F,"Acyclic, Carbocyclic Or Heterocyclic Compounds Containing Elements Other Than Carbon, Hydrogen, Halogen, Oxygen, Nitrogen, Sulfur, Selenium Or Tellurium "
C07G,Compounds Of Unknown Constitution
C07H,Sugars; Derivatives Thereof; Nucleosides; Nucleotides; Nucleic Acids 
C07J,Steroids 
C07K,Peptides 
C08B,Polysaccharides; Derivatives Thereof 
C08C,Treatment Or Chemical Modification Of Rubbers
C08F,Macromolecular Compounds Obtained By Reactions Only Involving Carbon-To-Carbon Unsaturated Bonds
C08G,Macromolecular Compounds Obtained Otherwise Than By Reactions Only Involving Unsaturated Carbon-To-Carbon Bonds
C08H,Derivatives Of Natural Macromolecular Compounds 
C08J,"Working-Up; General Processes Of Compounding; After-Treatment Not Covered By Subclasses C08B, C08C, C08F, C08G "
C08K,Use Of Inorganic Or Non-Macromolecular Organic Substances As Compounding Ingredients 
C08L,Compositions Of Macromolecular Compounds 
C09B,Organic Dyes Or Closely-Related Compounds For Producing Dyes {
C09C,"Treatment Of Inorganic Materials, Other Than Fibrous Fillers, To Enhance Their Pigmenting Or Filling Properties "
C09D,Coating Compositions
C09F,Natural Resins; French Polish; Drying-Oils; Driers 
C09G,Polishing Compositions Other Than French Polish; Ski Waxes
C09H,Preparation Of Glue Or Gelatine
C09J,Adhesives; Non-Mechanical Aspects Of Adhesive Processes In General; Adhesive Processes Not Provided For Elsewhere; Use Of Material As Adhesives 
C09K,"Materials For Miscellaneous Applications, Not Provided For Elsewhere"
C10B,"Destructive Distillation Of Carbonageous Materials For Production Of Gas, Coke, Tar, Or Similar Materials "
C10C,"Working-Up Pitch, Asphalt, Bitumen, Tar; Pyroligneous Acid "
C10F,Drying Or Working-Up Of Peat
C10G,Cracking Hydrocarbon Oils; Production Of Liquid Hydrocarbon Mixtures
C10H,Production Of Acetylene By Wet Methods {
C10J,"Production Of Producer Gas, Water-Gas, Synthesis Gas From Solid Carbonaceous Material, Or Mixtures Containing These Gases "
C10K,Purifying Or Modifying The Chemical Composition Of Combustible Gases Containing Carbon Monoxide
C10L,Fuels Not Otherwise Provided For 
C10M,Lubricating Compositions 
C10N,Indexing Scheme Associated With Subclass C10M Relating To Lubricating Compositions
C11B,Producing 
C11C,"Fatty Acids From Fats, Oils Or Waxes; Candles; Fats, Oils Or Fatty Acids By Chemical Modification Of Fats, Oils, Or Fatty Acids Obtained Therefrom"
C11D,Detergent Compositions 
C12C,Beer; Preparation Of Beer By Fermentation 
C12F,Recovery Of By-Products Of Fermented Solutions 
C12G,Wine; Preparation Thereof; Alcoholic Beverages 
C12H,"Pasteurisation, Sterilisation, Preservation, Purification, Clarification Or Ageing Of Alcoholic Beverages; Methods For Altering The Alcohol Content Of Fermented Solutions Or Alcoholic Beverages "
C12J,Vinegar; Preparation Or Purification Thereof
C12L,Pitching Or Depitching Machines; Cellar Tools 
C12M,"Apparatus For Enzymology Or Microbiology; {Apparatus For Culturing Microorganisms For Producing Biomass, For Growing Cells Or For Obtaining Fermentation Or Metabolic Products, I.E. Bioreactors Or Fermenters}"
C12N,"Microorganisms Or Enzymes; Compositions Thereof; Propagating, Preserving, Or Maintaining Microorganisms; Mutation Or Genetic Engineering; Culture Media "
C12P,Fermentation Or Enzyme-Using Processes To Synthesise A Desired Chemical Compound Or Composition Or To Separate Optical Isomers From A Racemic Mixture {
C12Q,"Measuring Or Testing Processes Involving Enzymes, Nucleic Acids Or Microorganisms "
C12R,Processes Using Microorganisms
C12Y,Enzymes
C13B,Production Of Sucrose; Apparatus Specially Adapted Therefor 
C13K,"Saccharides, Other Than Sucrose, Obtained From Natural Sources Or By Hydrolysis Of Naturally Occurring Di-, Oligo- Or Polysaccharides "
C14B,"Mechanical Treatment Or Processing Of Skins, Hides Or Leather In General; Pelt-Shearing Machines; Intestine-Splitting Machines "
C14C,"Chemical Treatment Of Hides, Skins Or Leather"
C21B,Manufacture Of Iron Or Steel 
C21C,Processing Of Pig-Iron
C21D,"Modifying The Physical Structure Of Ferrous Metals; General Devices For Heat Treatment Of Ferrous Or Non-Ferrous Metals Or Alloys; Making Metal Malleable By Decarburisation, Tempering Or Other Treatments "
C22B,Production And Refining Of Metals 
C22C,Alloys 
C22F,Changing The Physical Structure Of Non-Ferrous Metals And Non-Ferrous Alloys 
C23C,"Coating Metallic Material; Coating Material With Metallic Material; Surface Treatment Of Metallic Material By Diffusion Into The Surface, By Chemical Conversion Or Substitution; Coating By Vacuum Evaporation, By Sputtering, By Ion Implantation Or By Chemical Vapour Deposition, In General "
C23D,"Enamelling Of, Or Applying A Vitreous Layer To, Metals "
C23F,Non-Mechanical Removal Of Metallic Material From Surface 
C23G,Cleaning Or Degreasing Of Metallic Material By Chemical Methods Other Than Electrolysis 
C25B,Electrolytic Or Electrophoretic Processes For The Production Of Compounds Or Non-Metals; Apparatus Therefor 
C25C,"Processes For The Electrolytic Production, Recovery Or Refining Of Metals; Apparatus Therefor"
C25D,Processes For The Electrolytic Or Electrophoretic Production Of Coatings; Electroforming; Apparatus Therefor
C25F,Processes For The Electrolytic Removal Of Materials From Objects; Apparatus Therefor
C30B,Single-Crystal-Growth 
C40B,Combinatorial Chemistry; Libraries
D01B,Mechanical Treatment Of Natural Fibrous Or Filamentary Material To Obtain Fibres Of Filaments
D01C,Chemical Treatment Of Natural Filamentary Or Fibrous Material To Obtain Filaments Or Fibres For Spinning; Carbonising Rags To Recover Animal Fibres
D01D,"Mechanical Methods Or Apparatus In The Manufacture Of Artificial Filaments, Threads, Fibres, Bristles Or Ribbons"
D01F,"Chemical Features In The Manufacture Of Artificial Filaments, Threads, Fibres, Bristles Or Ribbons; Apparatus Specially Adapted For The Manufacture Of Carbon Filaments"
D01G,Preliminary Treatment Of Fibres
D01H,Spinning Or Twisting 
D02G,"Crimping Or Curling Fibres, Filaments, Threads, Or Yarns; Yarns Or Threads"
